# Wiki drops with text rarity — exact rate needs data collection
# Any non-numeric rarity (Common, Rare, Random, Varies, etc.)
# wikiPage	item	section	subsection	rarity

Alchemical_Hydra	Dragon knife	Main	Pre-roll	1/{{#expr:2000/(1999/2000) round 1}}
Alchemical_Hydra	Grimy avantoe	Main	Herbs	1/{{#expr:1/(5*{{#var:herbbase}}) round 1}}
Alchemical_Hydra	Grimy cadantine	Main	Herbs	1/{{#expr:1/(4*{{#var:herbbase}}) round 1}}
Alchemical_Hydra	Grimy dwarf weed	Main	Herbs	1/{{#expr:1/(4*{{#var:herbbase}}) round 1}}
Alchemical_Hydra	Grimy kwuarm	Main	Herbs	1/{{#expr:1/(5*{{#var:herbbase}}) round 1}}
Alchemical_Hydra	Grimy lantadyme	Main	Herbs	1/{{#expr:1/(3*{{#var:herbbase}}) round 1}}
Alchemical_Hydra	Grimy ranarr weed	Main	Herbs	1/{{#expr:1/(4*{{#var:herbbase}}) round 1}}
Alchemical_Hydra	Grimy snapdragon	Main	Herbs	1/{{#expr:1/(4*{{#var:herbbase}}) round 1}}
Alchemical_Hydra	Grimy torstol	Main	Herbs	1/{{#expr:1/(3*{{#var:herbbase}}) round 1}}
Alchemical_Hydra	Hydra leather	Main	Pre-roll	1/{{#expr:512/(1999/2000*1999/2000*999/1000*511/512) round 1}}
Alchemical_Hydra	Hydra tail	Main	Pre-roll	1/{{#expr:512/(1999/2000*1999/2000*999/1000) round 1}}
Alchemical_Hydra	Hydra's claw	Main	Pre-roll	1/{{#expr:1000/(1999/2000*1999/2000) round 1}}
Alchemical_Hydra	Hydra's eye	Main	Pre-roll	1/{{#expr:180/(1999/2000*1999/2000*999/1000*511/512*511/512) round 1}}
Alchemical_Hydra	Hydra's fang	Main	Pre-roll	1/{{#expr:180/(1999/2000*1999/2000*999/1000*511/512*511/512) round 1}}
Alchemical_Hydra	Hydra's heart	Main	Pre-roll	1/{{#expr:180/(1999/2000*1999/2000*999/1000*511/512*511/512) round 1}}
Armoured_kraken	Avantoe seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*103 + {{#var:uncseed}}*12) round 1}}
Armoured_kraken	Belladonna seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*143 + {{#var:uncseed}}*18) round 1}}
Armoured_kraken	Cactus seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*96 + {{#var:uncseed}}*12) round 1}}
Armoured_kraken	Cadantine seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*32 + {{#var:uncseed}}*4) round 1}}
Armoured_kraken	Camphor seed	Main	Seeds	1/{{#expr:1/({{#var:sailseed}}*15) round 1}}
Armoured_kraken	Dwarf weed seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*14 + {{#var:uncseed}}*2) round 0}}
Armoured_kraken	Harralander seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*56) round 0}}
Armoured_kraken	Irit seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*148 + {{#var:uncseed}}*18) round 1}}
Armoured_kraken	Ironwood seed	Main	Seeds	1/{{#expr:1/({{#var:sailseed}}*4) round 1}}
Armoured_kraken	Jangerberry seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*92) round 1}}
Armoured_kraken	Kwuarm seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*69 + {{#var:uncseed}}*9) round 1}}
Armoured_kraken	Lantadyme seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*23 + {{#var:uncseed}}*3) round 1}}
Armoured_kraken	Limpwurt seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*137) round 1}}
Armoured_kraken	Marrentill seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*125) round 1}}
Armoured_kraken	Mushroom spore	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*29) round 0}}
Armoured_kraken	Poison ivy seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*101 + {{#var:uncseed}}*13) round 1}}
Armoured_kraken	Potato cactus seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*70 + {{#var:uncseed}}*8) round 1}}
Armoured_kraken	Ranarr seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*39) round 0}}
Armoured_kraken	Rosewood seed	Main	Seeds	1/{{#expr:1/({{#var:sailseed}}*1) round 0}}
Armoured_kraken	Snapdragon seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*46 + {{#var:uncseed}}*5) round 1}}
Armoured_kraken	Snape grass seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*20) round 1}}
Armoured_kraken	Snape grass seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*40) round 0}}
Armoured_kraken	Strawberry seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*131) round 1}}
Armoured_kraken	Tarromin seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*85) round 1}}
Armoured_kraken	Toadflax seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*216 + {{#var:uncseed}}*27) round 1}}
Armoured_kraken	Torstol seed	Main	Seeds	1/{{#expr:1/({{#var:rareseed}}*9 + {{#var:uncseed}}*1) round 0}}
Armoured_kraken	Watermelon seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*63) round 1}}
Armoured_kraken	Whiteberry seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*34) round 0}}
Armoured_kraken	Wildblood seed	Main	Seeds	1/{{#expr:1/({{#var:uncseed}}*83) round 1}}
Black_jaguar	Clue scroll (medium)	Tertiary	Tertiary	Rare
Bloodthirsty_Drake	Grimy avantoe	Main	Noted herbs	1/{{#expr:1/(5*{{#var:herbbase}}) round 1}}
Bloodthirsty_Drake	Grimy cadantine	Main	Noted herbs	1/{{#expr:1/(4*{{#var:herbbase}}) round 1}}
Bloodthirsty_Drake	Grimy dwarf weed	Main	Noted herbs	1/{{#expr:1/(4*{{#var:herbbase}}) round 1}}
Bloodthirsty_Drake	Grimy kwuarm	Main	Noted herbs	1/{{#expr:1/(5*{{#var:herbbase}}) round 1}}
Bloodthirsty_Drake	Grimy lantadyme	Main	Noted herbs	1/{{#expr:1/(3*{{#var:herbbase}}) round 1}}
Bloodthirsty_Drake	Grimy ranarr weed	Main	Noted herbs	1/{{#expr:1/(4*{{#var:herbbase}}) round 1}}
Bloodthirsty_Drake	Grimy snapdragon	Main	Noted herbs	1/{{#expr:1/(4*{{#var:herbbase}}) round 1}}
Bloodthirsty_Drake	Grimy torstol	Main	Noted herbs	1/{{#expr:1/(3*{{#var:herbbase}}) round 1}}
Bloodthirsty_Hydra	Diamond bolt tips	Main	Bolt tips	1/{{#expr:1/(10*{{#var:bolttipbase}}) round 1}}
Bloodthirsty_Hydra	Dragonstone bolt tips	Main	Bolt tips	1/{{#expr:1/(7*{{#var:bolttipbase}}) round 1}}
Bloodthirsty_Hydra	Emerald bolt tips	Main	Bolt tips	1/{{#expr:1/(9*{{#var:bolttipbase}}) round 1}}
Bloodthirsty_Hydra	Grimy avantoe	Main	Herbs	1/{{#expr:1/(5*{{#var:uht}}) round 2}}
Bloodthirsty_Hydra	Grimy ranarr weed	Main	Herbs	1/{{#expr:1/(4*{{#var:uht}}) round 2}}
Bloodthirsty_Hydra	Grimy snapdragon	Main	Herbs	1/{{#expr:1/(3*{{#var:uht}}) round 2}}
Bloodthirsty_Hydra	Grimy torstol	Main	Herbs	1/{{#expr:1/(3*{{#var:uht}}) round 2}}
Bloodthirsty_Hydra	Onyx bolt tips	Main	Bolt tips	1/{{#expr:1/(3*{{#var:bolttipbase}}) round 1}}
Bloodthirsty_Hydra	Ruby bolt tips	Main	Bolt tips	1/{{#expr:1/(9*{{#var:bolttipbase}}) round 1}}
Bloodthirsty_Hydra	Sapphire bolt tips	Main	Bolt tips	1/{{#expr:1/(2*{{#var:bolttipbase}}) round 1}}
Buffalo	Clue scroll (beginner)	Tertiary	Tertiary	
Buffalo	Clue scroll (easy)	Tertiary	Tertiary	
Buffalo	Token (Varlamore)	Guaranteed	100%	Varies
Cave_crawler	Frozen tear	Tertiary	Tertiary	<ref name=tapoyauik group=d> Only dropped by those found in the [[Ruins of Tapoyauik]].</ref>
Chilled_jelly	Frozen tear	Tertiary	Tertiary	Rare
Colossal_Hydra	Diamond bolt tips	Main	Bolt tips	1/{{#expr:1/(10*{{#var:bolttipbase}}) round 1}}
Colossal_Hydra	Dragonstone bolt tips	Main	Bolt tips	1/{{#expr:1/(7*{{#var:bolttipbase}}) round 1}}
Colossal_Hydra	Emerald bolt tips	Main	Bolt tips	1/{{#expr:1/(9*{{#var:bolttipbase}}) round 1}}
Colossal_Hydra	Grimy avantoe	Main	Herbs	1/{{#expr:1/(5*{{#var:uht}}) round 2}}
Colossal_Hydra	Grimy ranarr weed	Main	Herbs	1/{{#expr:1/(4*{{#var:uht}}) round 2}}
Colossal_Hydra	Grimy snapdragon	Main	Herbs	1/{{#expr:1/(3*{{#var:uht}}) round 2}}
Colossal_Hydra	Grimy torstol	Main	Herbs	1/{{#expr:1/(3*{{#var:uht}}) round 2}}
Colossal_Hydra	Onyx bolt tips	Main	Bolt tips	1/{{#expr:1/(3*{{#var:bolttipbase}}) round 1}}
Colossal_Hydra	Ruby bolt tips	Main	Bolt tips	1/{{#expr:1/(9*{{#var:bolttipbase}}) round 1}}
Colossal_Hydra	Sapphire bolt tips	Main	Bolt tips	1/{{#expr:1/(2*{{#var:bolttipbase}}) round 1}}
Corrupted_Bear	Corrupted bowstring	Main	Weapon components	Varies
Corrupted_Bear	Corrupted orb	Main	Weapon components	Varies
Corrupted_Bear	Corrupted spike	Main	Weapon components	Varies
Corrupted_Dark_Beast	Corrupted bowstring	Main	Weapon components	Varies
Corrupted_Dark_Beast	Corrupted orb	Main	Weapon components	Varies
Corrupted_Dark_Beast	Corrupted spike	Main	Weapon components	Varies
Corrupted_Dragon	Corrupted bowstring	Main	Weapon components	Varies
Corrupted_Dragon	Corrupted orb	Main	Weapon components	Varies
Corrupted_Dragon	Corrupted spike	Main	Weapon components	Varies
Crystalline_Bat	Grym leaf	Main	Materials	Common
Crystalline_Bat	Raw paddlefish	Main	Materials	Common
Crystalline_Bat	Teleport crystal (The Gauntlet)	Main	Other	Uncommon
Crystalline_Bat	Weapon frame	Main	Materials	Common
Crystalline_Bear	Crystal orb	Main	Weapon components	Varies
Crystalline_Bear	Crystal spike	Main	Weapon components	Varies
Crystalline_Bear	Crystalline bowstring	Main	Weapon components	Varies
Crystalline_Bear	Raw paddlefish	Main	Resources	Common
Crystalline_Bear	Teleport crystal (The Gauntlet)	Main	Resources	Uncommon
Crystalline_Dark_Beast	Crystal orb	Main	Weapon components	Varies
Crystalline_Dark_Beast	Crystal spike	Main	Weapon components	Varies
Crystalline_Dark_Beast	Crystalline bowstring	Main	Weapon components	Varies
Crystalline_Dark_Beast	Raw paddlefish	Main	Resources	Common
Crystalline_Dark_Beast	Teleport crystal (The Gauntlet)	Main	Resources	Uncommon
Crystalline_Dragon	Crystal orb	Main	Weapon components	Varies
Crystalline_Dragon	Crystal spike	Main	Weapon components	Varies
Crystalline_Dragon	Crystalline bowstring	Main	Weapon components	Varies
Crystalline_Dragon	Raw paddlefish	Main	Resources	Common
Crystalline_Dragon	Teleport crystal (The Gauntlet)	Main	Resources	Uncommon
Crystalline_Rat	Grym leaf	Main	Materials	Common
Crystalline_Rat	Raw paddlefish	Main	Materials	Common
Crystalline_Rat	Teleport crystal (The Gauntlet)	Main	Other	Uncommon
Crystalline_Rat	Weapon frame	Main	Materials	Common
Crystalline_Scorpion	Raw paddlefish	Main	Materials	Common
Crystalline_Scorpion	Teleport crystal (The Gauntlet)	Main	Other	Uncommon
Crystalline_Scorpion	Weapon frame	Main	Materials	Common
Crystalline_Spider	Grym leaf	Main	Materials	Common
Crystalline_Spider	Raw paddlefish	Main	Materials	Common
Crystalline_Spider	Teleport crystal (The Gauntlet)	Main	Other	Uncommon
