quest,questType,entity,entityType,role,score,reviewNeeded,reasons,sourceUrl,evidence
A Kingdom Divided,quest,Archeio,npc,helper,0.86,True,walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Talk to the commander, and she will discuss the things Hughes said on the docks. She will give some backstory regarding the old king, and his daughter called Rose. Fullore will ask you to investigate the council's conspiracy against the roy"
A Kingdom Divided,quest,Artur Hosidius,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Assassin (A Kingdom Divided),npc,enemy,0.99,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91) / Category:A Kingdom Divided
A Kingdom Divided,quest,Assassin (A Kingdom Divided),npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91) / Category:A Kingdom Divided
A Kingdom Divided,quest,Asteros Arceuus,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Barbarian Warlord,monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91) / Category:A Kingdom Divided
A Kingdom Divided,quest,Barbarian Warlord,monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91) / Category:A Kingdom Divided
A Kingdom Divided,quest,Cabin Boy Herbert,npc,helper,0.96,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Go to Veos' ship in Port Piscarilius and talk to Cabin Boy Herbert, who has taken Veos' place. He will say Veos just wandered off in a trance right after the earthquake. Ask him if he has seen the councillor, and he will tell you that the s / Category:A Kingdom Divided"
A Kingdom Divided,quest,Cabin Boy Herbert,npc,story,0.95,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Go to Veos' ship in Port Piscarilius and talk to Cabin Boy Herbert, who has taken Veos' place. He will say Veos just wandered off in a trance right after the earthquake. Ask him if he has seen the councillor, and he will tell you that the s / Category:A Kingdom Divided"
A Kingdom Divided,quest,Captain Ginea,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Captain Rachelle,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Commander Fullore,npc,helper,0.96,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Start out by talking to Martin Holt, just east of the Kourend Castle in Kingstown. He can be found on a platform near the protesters. He will explain that the previous king's daughter was supposed to take over the throne, but the Kourend Co / Speak to Lady Lovakengj, who is now on the of the lookout. She will wish to replace Councillor Andrews with Councillor Unkar, so she must be convinced that Councillor Unkar is not innocent in this conspiracy. Talk to Commander Fullore and a / Category:A Kingdom Divided"
A Kingdom Divided,quest,Commander Fullore,npc,story,0.95,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Start out by talking to Martin Holt, just east of the Kourend Castle in Kingstown. He can be found on a platform near the protesters. He will explain that the previous king's daughter was supposed to take over the throne, but the Kourend Co / Speak to Lady Lovakengj, who is now on the of the lookout. She will wish to replace Councillor Andrews with Councillor Unkar, so she must be convinced that Councillor Unkar is not innocent in this conspiracy. Talk to Commander Fullore and a / Category:A Kingdom Divided"
A Kingdom Divided,quest,Councillor Andrews,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Councillor Orson,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Councillor Unkar,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Disciple of Yama,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Fire Wave (Judge of Yama),npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Fuggy,npc,helper,0.92,False,quest category match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Go to the Deeper Lode, the pub in Lovakengj, and talk to Fuggy. The fastest way to get there is by using the Jewellery of jubilation teleport on Kharedst's memoirs and running east, but players can also take the minecart just east of Kingst / Category:A Kingdom Divided"
A Kingdom Divided,quest,Fuggy,npc,story,0.93,False,quest category match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Go to the Deeper Lode, the pub in Lovakengj, and talk to Fuggy. The fastest way to get there is by using the Jewellery of jubilation teleport on Kharedst's memoirs and running east, but players can also take the minecart just east of Kingst / Category:A Kingdom Divided"
A Kingdom Divided,quest,Jorra,npc,helper,0.96,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Go west of Shayzien, to the Shayzien prison, very close to the Kharedst's memoirs History and hearsay teleport and just south-west of the southern Shayzien bank. Climb down the staircase and talk to Martin, who is in one of the four cells o / Category:A Kingdom Divided"
A Kingdom Divided,quest,Jorra,npc,story,0.95,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Go west of Shayzien, to the Shayzien prison, very close to the Kharedst's memoirs History and hearsay teleport and just south-west of the southern Shayzien bank. Climb down the staircase and talk to Martin, who is in one of the four cells o / Category:A Kingdom Divided"
A Kingdom Divided,quest,Judge of Yama (A Kingdom Divided),monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91) / Category:A Kingdom Divided
A Kingdom Divided,quest,Judge of Yama (A Kingdom Divided),monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91) / Category:A Kingdom Divided
A Kingdom Divided,quest,Kaal-Ket-Jor,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Kaal-Mej-San,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Kaal-Xil-Dar,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Kaht B'alam,npc,helper,0.92,False,quest category match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Head to the Lizardman Temple in Molch - use a skills necklace to teleport to the Farming Guild and head south-east. Enter the temple via any of the Lizard dwelling entrances and head east through the middle hallway. Enter the room to the no / Category:A Kingdom Divided
A Kingdom Divided,quest,Kaht B'alam,npc,story,0.93,False,quest category match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Head to the Lizardman Temple in Molch - use a skills necklace to teleport to the Farming Guild and head south-east. Enter the temple via any of the Lizard dwelling entrances and head east through the middle hallway. Enter the room to the no / Category:A Kingdom Divided
A Kingdom Divided,quest,Kualti,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Lady Shauna Piscarilius,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Lady Vulcana Lovakengj,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Lizardman brute,monster,enemy,0.97,False,,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91)
A Kingdom Divided,quest,Lord Kandur Hosidius,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Lord Shiro Shayzien,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Lord Trobin Arceuus,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
