quest,questType,entity,entityType,roles,score,reasons,sourceUrl,evidence
Goblin Diplomacy,quest,Aggie,npc,turn_in,0.84,walkthrough interaction match; turn-in relation lacks independent quest association,https://oldschool.runescape.wiki/w/Goblin_Diplomacy,"You need to make orange dye and blue dye from the components you gathered in the previous section. Take the supplies to Aggie in Draynor Village, and have her make one yellow, one red, and one blue dye. To make orange dye, use the yellow dy"
Recipe for Disaster/Freeing King Awowogei,quest,Zooknock,npc,turn_in,0.84,walkthrough interaction match; turn-in relation lacks independent quest association,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_King_Awowogei,"In order to make the three required greegrees, you must bring a monkey talisman and the respective bones to Zooknock (located at the end of the Ape Atoll Dungeon). Monkey talismans can be purchased from the rune salesman Tutab on Ape Atoll "
A Kingdom Divided,quest,Archeio,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Talk to the commander, and she will discuss the things Hughes said on the docks. She will give some backstory regarding the old king, and his daughter called Rose. Fullore will ask you to investigate the council's conspiracy against the roy"
A Taste of Hope,quest,The Maiden of Sugadinti,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Taste_of_Hope,"After speaking to Flaygian Screwte, speak again to Safalaan who plans to have his team meet up with Veliaf Hurtz's in Burgh de Rott and escape Morytania in order to build up their numbers, as Morytania may not be safe anymore for them to hi"
A Taste of Hope,quest,Vampyre Juvinate,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Taste_of_Hope,"*Mine 15 Daeyalt ores; once the mine cart is full, speak to a Vampyre Juvinate to leave. If you have no pickaxe, talk to a miner to obtain a bronze one."
Barbarian Training,miniquest,"Fishing spot (cage, harpoon)",npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Barbarian_Training,"Speak to Otto and ask ""Please teach me of your cunning with harpoons."" He will tell you that instead of using a harpoon, you will use your arm as bait. Find a fishing spot where a harpoon is required; Catherby is a good location with no req"
Bear Your Soul,miniquest,Biblia,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Bear_Your_Soul,"Once in the library, search for a book called The Journey of Souls (called ""Soul journey"" in the inventory). It is highly recommended to use a third-party client to narrow down the search for the book, as only certain bookshelves will ever "
Between a Rock...,quest,Dwarven Ferryman,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Between_a_Rock...,"Once you've entered the cave, there will be a crack between two dwarf statues directly across from you, which you should enter. From there, talk to the Dwarven Ferryman (not the boatman) for a ride across the river, which will cost 2 coins "
Bone Voyage,quest,Sawmill operator,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Bone_Voyage,The barge foreman will instruct the player to talk to the Sawmill operator at the Sawmill north-west from the barge.
Children of the Sun,quest,Regulus Cento,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Children_of_the_Sun,"After the interrogation, Prince Itzla will thank you for your role in stopping the assassination attempt by giving you special permission to visit Varlamore and asks you to speak with Regulus Cento outside the Eastern gate of Varrock when y"
